StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
AL	Highway 247 Volunteer Fire Department	-87.90571	34.62685	295
AL	Highway 36 Church	-87.21474	34.41954	245
AL	Highway 45 Baptist Church	-88.11472	30.74963	251
AL	Highway 51 Volunteer Fire Department	-85.54663	32.14214	71
AL	Highway Cemetery	-85.35412	33.27706	133
AL	Highway Church	-85.96970	34.39176	227
AL	Highway First Congregational Methodist Church	-85.35384	33.27706	133
AL	Highway Five Church	-87.38668	33.91622	202
AL	Highway Ridge Memorial Gardens	-85.34856	33.27790	133
AL	Highway School (historical)	-87.86529	32.90568	163
AL	Hill Branch	-88.03363	32.17820	168
AL	Hill Cemetery	-86.02190	32.31542	23
AL	Hill Cemetery	-85.46467	32.60375	79
AL	Hill Cemetery	-86.31275	33.16012	89
AL	Hill Cemetery	-87.72139	31.65460	159
AL	Hill Cemetery	-88.11530	32.85069	183
AL	Hill Cemetery	-88.13836	32.97457	189
AL	Hill Cemetery	-88.07114	33.84705	237
AL	Hill Cemetery	-86.60055	34.50093	240
AL	Hill Cemetery	-88.10559	33.87066	241
AL	Hill Cemetery	-87.13862	34.41593	243
AL	Hill Cemetery	-87.10807	34.50371	251
AL	Hill Cemetery	-85.85664	34.62842	255
AL	Hill Cemetery	-87.44252	34.64954	277
AL	Hill Cemetery	-87.50808	34.91620	307
AL	Hill Chapel	-86.34332	34.53759	242
AL	Hill Creek	-87.18222	33.02957	114
AL	Hill Creek	-87.10638	33.11484	116
AL	Hill Creek Mine	-87.12583	33.12373	118
AL	Hill Crest Baptist Church	-85.83413	33.67288	151
AL	Hill Crest Behavioral Health Services	-86.73012	33.54882	139
AL	Hill Dam	-86.27663	32.09181	29
AL	Hill Elementary School	-86.83082	33.51233	139
AL	Hill Hospital of Sumter County	-88.29565	32.49204	192
AL	Hill Lake	-85.23829	32.91894	114
AL	Hill Lake Number Two	-86.15809	32.18850	21
AL	Hill Mountain	-88.26808	32.04043	193
AL	Hill Mountain	-86.38638	34.56926	246
AL	Hill Number 1	-86.46887	33.68566	149
AL	Hill Number 2	-86.48332	33.68760	149
AL	Hill Place Cemetery	-87.55112	32.67819	127
AL	Hill Pond	-86.10116	34.81978	274
AL	Hill Pond Dam	-86.10332	34.81842	273
AL	Hill Poultry Farm	-85.62028	34.92917	291
AL	Hill Push Mine	-87.46168	33.97650	212
AL	Hill Ranch Dam	-88.17003	32.78680	186
AL	Hill Ranch Pond	-88.17003	32.78680	186
AL	Hill School (historical)	-86.58777	34.96203	291
AL	Hill Spring Baptist Church	-88.09917	31.24600	213
AL	Hill Spring Branch	-87.79448	34.29482	258
AL	Hill Springs (historical)	-86.34220	33.14373	88
AL	Hill Springs Cemetery	-88.09917	31.24545	214
AL	Hill Top	-87.90029	32.25959	155
AL	Hill Top (historical)	-85.89441	33.83343	167
AL	Hill Zion Church	-87.62640	32.80124	138
AL	Hill Zion Church	-87.67029	32.83124	143
AL	Hill and Hill Dam	-86.30163	32.13681	25
AL	Hill and Hill Lake	-86.30219	32.13681	25
AL	Hill of Knowledge School (historical)	-86.27192	33.57788	135
AL	Hill-Thompson Cemetery	-85.45689	32.98873	103
AL	Hillabee Baptist Church	-85.91163	32.96596	75
AL	Hillabee Campground Cemetery	-85.90441	33.04873	84
AL	Hillabee Campground Methodist Church	-85.90441	33.04901	84
AL	Hillabee Creek	-85.85330	32.96457	77
AL	Hillabee Creek	-85.76274	33.58872	144
AL	Hillabee Post Office (historical)	-85.84218	33.19234	100
AL	Hillabee Ridge	-85.90469	33.16845	96
AL	Hillabeehago Branch	-85.56579	33.14790	109
AL	Hillabi (historical)	-85.92219	33.09595	88
AL	Hillake	-86.30860	32.31921	6
AL	Hillandale	-86.61555	34.73176	265
AL	Hillard Drift Mine	-87.36528	33.82233	193
AL	Hillard Mine	-87.35695	33.81816	192
AL	Hillard and Howard Cemetery	-86.04856	31.76599	68
AL	Hillards Cross Roads	-85.87800	31.69433	82
AL	Hillardsville (historical)	-85.20354	31.68350	124
AL	Hillcrest	-86.28608	32.38597	4
AL	Hillcrest	-85.81161	31.72516	82
AL	Hillcrest	-87.47472	32.45152	115
AL	Hillcrest	-85.85549	31.33100	120
AL	Hillcrest	-87.54473	33.19123	152
AL	Hillcrest	-85.82635	33.72232	157
AL	Hillcrest - Grelot Shopping Center	-88.19128	30.66197	263
AL	Hillcrest Baptist Church	-86.84054	32.73291	69
AL	Hillcrest Baptist Church	-85.62577	31.45406	117
AL	Hillcrest Baptist Church	-85.85383	31.32795	120
AL	Hillcrest Baptist Church	-87.47473	33.18706	147
AL	Hillcrest Baptist Church	-88.19168	30.66454	263
AL	Hillcrest Cemetery	-86.84138	32.73263	69
AL	Hillcrest Cemetery	-86.12107	31.71849	72
AL	Hillcrest Cemetery	-86.01383	31.40294	108
AL	Hillcrest Cemetery	-87.12833	33.12984	118
AL	Hillcrest Cemetery	-87.31820	31.53000	136
AL	Hillcrest Cemetery	-85.77246	33.82177	169
AL	Hillcrest Cemetery	-87.17886	31.03185	171
AL	Hillcrest Cemetery	-86.17720	34.19454	204
AL	Hillcrest Cemetery	-87.15223	34.18750	219
AL	Hillcrest Cemetery	-87.79780	33.88011	222
AL	Hillcrest Cemetery	-87.61751	34.22555	243
AL	Hillcrest Church	-85.62549	31.45378	117
AL	Hillcrest Church	-85.77438	31.12712	144
AL	Hillcrest Church	-87.79669	33.88011	222
AL	Hillcrest Country Club	-86.81693	33.47316	134
AL	Hillcrest Estates	-86.92777	33.59455	151
AL	Hillcrest Garden	-85.22939	32.87652	112
AL	Hillcrest High School	-87.53750	33.13000	147
AL	Hillcrest Memorial Gardens	-88.15282	34.46065	292
AL	Hillcrest Middle School	-87.53972	33.13250	148
AL	Hillcrest Plaza Shopping Center	-88.18968	30.67540	262
AL	Hillcrest Pond	-86.37829	31.19517	129
AL	Hillcrest Pond	-86.40958	31.19883	129
AL	Hillcrest Pond Number 1 Dam	-86.37829	31.19517	129
AL	Hillcrest Pond Number 2 Dam	-86.40829	31.19851	129
AL	Hillcrest Ponds	-86.41024	31.19577	130
AL	Hillcrest Road Commercial Park	-88.19130	30.67100	262
AL	Hillcrest School	-85.85383	31.32295	121
AL	Hillcrest Square Building	-88.19140	30.66927	262
AL	Hilldale Baptist Church	-86.69916	33.65205	149
AL	Hilldale Farm Lake	-86.62345	33.72480	155
AL	Hilldale Farm Lake Dam	-86.62499	33.72510	156
AL	Hilley Branch	-85.98942	34.49481	238
AL	Hilley Point	-86.07164	34.47759	236
AL	Hillhouse Lake	-86.48933	33.53009	132
AL	Hillian Store (historical)	-86.12026	34.49259	237
AL	Hilliard	-87.37640	33.81455	192
AL	Hilliard African Methodist Episcopal Zion Church	-86.29136	32.37236	4
AL	Hillman	-86.90805	33.44511	135
AL	Hillman Ferry (historical)	-88.05419	32.65319	172
AL	Hillman Gardens	-86.90305	33.44789	135
AL	Hillman Mine	-86.90416	33.42650	133
AL	Hillman Park	-86.90055	33.44483	135
AL	Hillman Pond	-87.96643	31.30386	199
AL	Hillmans Island (historical)	-88.09724	32.68597	177
AL	Hillmont	-86.62416	34.72315	265
AL	Hills Chapel	-86.12524	32.03404	38
AL	Hills Chapel	-86.82528	34.31982	224
AL	Hills Chapel	-86.43971	34.43092	231
AL	Hills Chapel	-86.58749	34.96203	291
AL	Hills Chapel Cemetery	-86.12690	32.03515	38
AL	Hills Chapel Church	-85.59884	32.81624	80
AL	Hills Chapel School (historical)	-86.12024	32.01876	40
AL	Hills Christian Methodist Episcopal Chapel	-86.55137	33.54094	134
AL	Hills Creek	-86.94443	32.04765	73
AL	Hills Creek	-86.96721	31.93765	81
AL	Hills Lake	-86.30056	32.13832	25
AL	Hills Lake	-85.25169	32.87714	111
AL	Hills Lake (historical)	-85.13327	31.98766	114
AL	Hills Landing (historical)	-88.15001	31.75682	191
AL	Hills Mill (historical)	-85.86246	33.34789	116
AL	Hills Mills (historical)	-87.86472	31.05629	210
AL	Hills Store (historical)	-87.42557	33.95927	208
AL	Hills Upper Landing (historical)	-88.16808	32.98235	192
AL	Hillsboro	-87.19168	34.63926	268
AL	Hillsboro	-86.42332	34.93898	287
AL	Hillsboro Area Volunteer Fire Department	-87.15783	34.64788	267
AL	Hillsboro Elementary School	-87.19418	34.63398	267
AL	Hillsboro Heights Baptist Church	-86.61888	34.70092	262
AL	Hillsboro Post Office	-87.19252	34.63704	267
AL	Hillsboro School (historical)	-86.42499	34.93981	287
AL	Hillsdale	-86.60498	33.14540	93
AL	Hillsdale	-87.48250	33.20123	148
AL	Hillsdale	-87.26640	33.86844	192
AL	Hillsdale Community Center	-88.20197	30.70290	260
AL	Hillsdale Heights	-88.20084	30.70019	260
AL	Hillsdale Heights Church of God	-88.20723	30.70519	260
AL	Hillsdale Heights Park	-88.20139	30.70269	260
AL	Hillsdale Methodist Church	-87.71642	34.96564	319
AL	Hillsdale Middle School	-88.20140	30.70399	260
AL	Hillsdale Presbyterian Church	-88.20778	30.70408	261
AL	Hillside (historical)	-86.66665	32.59902	47
AL	Hillside Cemetery	-85.81746	33.65760	150
AL	Hillside Chapel	-85.06493	32.46903	113
AL	Hillside Memorial Gardens	-86.41718	31.31378	117
AL	Hillside School	-85.98247	33.51677	131
AL	Hillside Spring	-87.08279	34.88703	291
AL	Hillsman Gap	-86.18386	33.42872	119
AL	Hillsville (historical)	-86.22775	33.42789	119
AL	Hillswood	-87.47917	33.18456	147
AL	Hilltop	-86.92999	33.34261	126
AL	Hilltop Church	-86.58666	34.32204	220
